OBJECTID,CDSCode,Status,Charter,Ed_Type,Level,Pb_Prv_BIE,School,District,County,Street,City,State,Zip,Lat,Long,Stacked,Stack_cnt,Source,CDS_uniq,GradesOffered,GradesServed
1,1.97687E+13,Active,No,Traditional,Elementary,Public,138th Street,Wiseburn Unified,Los Angeles,5403 West 138th Street,Hawthorne,CA,90250-6431,33.908583,-118.376468,Yes,3,Los Angeles CO Parcels,1.97687E+13,5-Mar,5-Mar
2,1.97687E+13,Active,Yes,Traditional,High School,Public,Da Vinci Science,Wiseburn Unified,Los Angeles,201 N. Douglas Street,El Segundo,CA,90245-4637,33.918876,-118.384333,Yes,2,Los Angeles CO Parcels 2020,1.97687E+13,12-Sep,12-Sep
3,1.97687E+13,Active,Yes,Traditional,High School,Public,Da Vinci Design,Wiseburn Unified,Los Angeles,12501 Isis Avenue,Hawthorne,CA,90250-4149,33.919227,-118.375501,Yes,2,Los Angeles CO Parcels 2020,1.97687E+13,12-Sep,12-Sep
4,1.97687E+13,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Da Vinci Connect,Wiseburn Unified,Los Angeles,12501 Isis Avenue,Hawthorne,CA,90250-6462,33.919231,-118.375507,Yes,2,Los Angeles CO Parcels 2020,1.97687E+13,K-12,K-8
5,1.97687E+13,Active,No,Traditional,Elementary,Public,Juan De Anza Elementary,Wiseburn Unified,Los Angeles,12110 Hindry Avenue,Hawthorne,CA,90250-3403,33.922632,-118.371115,No,1,Los Angeles CO Parcels,1.97687E+13,K-5,K-5
6,1.97687E+13,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Richard Henry Dana Middle,Wiseburn Unified,Los Angeles,5504 West 135th Street,Hawthorne,CA,90250-6462,33.908583,-118.376468,Yes,3,Los Angeles CO Parcels,1.97687E+13,8-Jun,8-Jun
7,1.97687E+13,Active,No,Traditional,Elementary,Public,Juan Cabrillo Elementary,Wiseburn Unified,Los Angeles,5309 West 135th Street,Hawthorne,CA,90250-4948,33.910364,-118.372756,No,1,Los Angeles CO Parcels,1.97687E+13,K-2,K-2
8,1.96473E+13,Active,Yes,Traditional,Intermediate/Middle/Junior High,Public,PREPA TEC - Los Angeles,Los Angeles Unified,Los Angeles,2665 Clarendon Avenue,Huntington Park,CA,90255-4138,33.983954,-118.223502,No,1,Los Angeles CO Parcels 2009,1.96473E+13,8-Jun,8-Jun
9,3.77685E+13,Active,No,Traditional,Elementary,Public,Bonsall Elementary,Bonsall Unified,San Diego,31555 Old River Road,Bonsall,CA,92003-5112,33.286702,-117.219297,No,1,San Diego CO Parcels,3.77685E+13,K-5,K-5
10,3.77685E+13,Active,No,Traditional,Elementary,Public,Bonsall West Elementary,Bonsall Unified,San Diego,5050 El Mirlo Drive,Oceanside,CA,92057-2704,33.264164,-117.292328,No,1,San Diego CO Parcels,3.77685E+13,K-6,K-6
